"Note","Course","Module","Clip","Time in Clip","URL"
"Generics stop runtime errors at compile time","Java Fundamentals: Generics","The What and Why of Java Generics","Introduction","3:01","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m1&clip=0&mode=live&start=181.883486&noteid=08bfefd7-7ca4-4810-ad73-0986c1d43929"
"ClassName<T>","Java Fundamentals: Generics","The What and Why of Java Generics","Making our Circular Buffer Generic","0:31","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m1&clip=3&mode=live&start=31.401877&noteid=e61538ac-9f13-480f-a196-bed7813bf236"
"A generic class allows you to standardize a class for any type, and once you decide what type it is in that instance, it won't accept any other type.\nExample: ArrayList<String> only accepts strings, ArrayList<Integer> only accepts ints\nGeneric class example:\npublic class GenericCircularBuffer<T>\n{\n    private final T[] buffer;\n    private int readCursor = 0;\n    private int writeCursor = 0;\n\n    @SuppressWarnings(""unchecked"")\npublic GenericCircularBuffer(int size)\n    {\n   buffer = (T[]) new Object[size];\n    }\n\npublic boolean offer(T value)    {\n    if (buffer[writeCursor] != null)\n     {\n            return false;\n        }\n\n        buffer[writeCursor] = value;\n        writeCursor = next(writeCursor);\n        return true;\n    }\n\n    @SuppressWarnings(""unchecked"")\n    public T poll()\n  {\n   T value = buffer[readCursor];\n    if (value != null)\n     {\n    buffer[readCursor] = null;\n    readCursor = next(readCursor);\n     }\n     return value;\n    }\n\n private int next(int index)\n    {\n  return (index + 1) % buffer.length;\n    }\n}\n\n- notice how all the places where the type would be (and the inside of the <>) have the letter T inside, to represent the ability to take in any type","Java Fundamentals: Generics","The What and Why of Java Generics","Making our Circular Buffer Generic","3:32","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m1&clip=3&mode=live&start=212.401654&noteid=5a6d22a1-dc59-4468-8275-cd06ba632f0b"
"- Generics help give us type safety, so like you can't input an integer into a place where only Strings are allowed, and etc\n\n- a generic interface is an interface that allows for any type to be used inside it","Java Fundamentals: Generics","The What and Why of Java Generics","Summary","0:37","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m1&clip=4&mode=live&start=37.64792&noteid=733886de-d2d4-496d-81c8-4992767500e0"
"List\n- an ordered collection\n\nNote:\nList<Person> madMen = new List <Person>() is actually illegal, because list an interface, and there are different ways to implement it (Array, ArrayList, LinkedList, etc)\n\nAll ""List"" means is that it's a collection with an order\n\nYou could also use an Iterator (generic as well) to loop over an ArrayList, but the following news is even better:\n\nYou can use for-each loops for ArrayLists as well!\n\nNote 2:\n- you don't have to fill in the type in the <> if you've already filled it in on the right, because the left can just infer the type from the right side.\nMeaning that\nList<Person> madMen = new ArrayList<>(); is totally LEGAL and the ArrayList will only accept the Person type\n\nExample:\npublic class ListExamples\n{\n    public static void main(String[] args)\n    {\n        Person donDraper = new Person(""Don Draper"", 89);\n        Person peggyOlson = new Person(""Peggy Olson"", 65);\n\n        List<Person> madMen = new ArrayList<Person>();\n        madMen.add(donDraper);\n        madMen.add(peggyOlson);\n\n        System.out.println(madMen);\n\n        // Lists auto-resize, with generic add method\n        madMen.add(new Person(""Bert Cooper"", 100));\n\n        // Compile Error:\n        // madMen.add(new Object());\n\n        System.out.println(madMen);\n\n        // We can query for size\n        System.out.println(madMen.size());\n\n        // Lists have order, we retrieve elements by index\n        for (int i = 0; i < madMen.size(); i++)\n        {\n            // Generic get method\n            Person person = madMen.get(i);\n            System.out.println(person);\n        }\n\n        // can loop over them with a for loop\n        for (Person character : madMen)\n        {\n            System.out.println(character);\n        }\n\n        // Can still add duplicates though\n        madMen.add(peggyOlson);\n    }\n}\n","Java Fundamentals: Generics","Java's Generic Collections and Friends","Introduction","0:28","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m2&clip=0&mode=live&start=28.76232&noteid=c4f38faf-3242-4caf-8390-27893a0d1ee7"
"Set\n- a collection with unique elements\n- if you add the same element twice to a set, when you print out all the elements, each element is only printed once, because sets ensure uniqueness of elements\n- Set<Person> madMen = new HashSet<>;\n- you can iterate over a set the same way you'd iterate over a list (for-each)\n- however, Sets DON'T have order, so if you do madMen.get(0), you''ll get a compile error\n   - furthermore, there's no defined ordering in a Set at all, so when you use the for-each loop to print each element, the order can be different each time\n- Sets have a contains(Object obj) method that returns true or false depending on if the object specified exists in that set (from the looks of the Java site, Lists have this also)\n- Sets also have other useful methods that Lists don't have","Java Fundamentals: Generics","Java's Generic Collections and Friends","Sets","0:10","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m2&clip=3&mode=live&start=10.913589&noteid=2dbcc22b-4797-4c9b-9c90-63e70f6f27cc"
"Map\n- a dictionary that maps a single value to each unique key\n- keys are unique, and for each key, there's a single value associated with it\n- Map <K,V>, where K= key type, and\nV = value type\n- ex. Map<String,Person> madMen = \nnew HashMap<>();\n-  put(K key, V value) inserts the value of type V under the key of type K\n - ex. madMen.put(donDraper.getName(), donDraper) inserts the value donDraper under the key donDraper,getName();\n- get(Object key) will return the value V associated with the key\n - ex. madMen.get(""Don Draper"") will return the value associated with the key ""Don Draper""\n- you can associate one value with multiple keys, but each key has to be UNIQUE\n- with a Map we have Keys and Values, so we actually have 3 different iteration combinations:\n  - Iterating over the Keys:\n    - for( String name: madMen.keySet())\n      - returns us a Set with all the keys\n  - Iterating over the Values:\n    - for( Person person: madMen.values())\n      - returns a Collection with all the values\n- Iterating over the Keys & Values (or essentially over each element in the Map):\n  - for(Map.Entry<String,Person> entry: madMen.entrySet())\n    - returns each complete element (each key-value pair), from which you can gain the individual components as well using:\n       - entry.getKey() and entry.getValue()\n- Note: you can have as many generic parameters on a class as you need to, although recommended not to go above 2 or 3","Java Fundamentals: Generics","Java's Generic Collections and Friends","Maps","0:08","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m2&clip=4&mode=live&start=8.869506&noteid=27e54e67-4e87-450b-b642-cf85c6ee9fd4"
"List<T> -> ArrayList<T>\n     |      \nLinkedList<T>\n\nList<T> interface could be implemented using ArrayList<T>, LinkedList<T>, etc\n\n","Java Fundamentals: Generics","Generic Classes and Interfaces","Introduction","0:29","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m3&clip=0&mode=live&start=29.183887&noteid=9c0cef3c-28c9-4e64-a2a6-e5c3d06acafe"
"How do generics interact with inheritance?","Java Fundamentals: Generics","Generic Classes and Interfaces","Introduction","1:26","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m3&clip=0&mode=live&start=86.974571&noteid=da7a6c03-4695-4b8a-8718-b79cb526ac45"
"Implementing a generic type:\n- Java has a class called Collections in the java.util package, and this class has a method called Collections.sort:\n\n- sort(List<T> list, Comparator<? super T> c)\nSorts the specified list according to the order induced by the specified comparator.\n\n- so to sort by age, we create an AgeComparator by doing:\n  - import java.util.Comparator;\n\npublic class AgeComparator implements Comparator<Person>\n{\n    public int compare(final Person left, final Person right)\n    {\n        return Integer.compare(left.getAge(), right.getAge());\n    }\n}\n  - so therefore to sort in the main class we can do:\n    - Collections.sort(madMen,new AgeComparator());","Java Fundamentals: Generics","Generic Classes and Interfaces","Implementing a Generic Type","1:28","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m3&clip=1&mode=live&start=88.414646&noteid=da64e947-9352-4dae-9d6d-fa70433f7151"
